r,lnz_0,lnz_1,lnz_2,lnz_3,lnz_4,lnz_5,lnz_6,lnz_7,lnz_8,lnz_9,lnz_10,lnz_11,lnz_12,lnz_13,lnz_14,lnz_15,lnz_16,lnz_17,lnz_18,lnz_19,lnz_20,lnz_21,lnz_22,lnz_23,lnz_24,lnz_25,lnz_26,lnz_27,lnz_28,lnz_29
9799.18594708031,297.6881135776837,,,,298.2896701733186,297.6159131083052,,300.17534774331796,296.06259915766844,300.75640740729773,307.1018813082135,275.9405499427729,,,307.18243803815056,289.3990102342967,273.9071206279769,,307.23359462692565,302.1977934806298,297.0054403273635,297.6565569119445,299.8530873441965,,281.08790312575417,,,290.9254432951014,274.2898601111099,296.29446314775186
10679.559315217042,289.92319785187186,297.21172704748597,302.19633809149957,,,294.33134623138255,300.4125227186812,,,,306.2815676125752,,,287.612422233655,,286.92284139570484,,,,,294.00298169049154,,,,,,,296.06969749192024,,302.3733478723873
11639.026729686788,,,,,,295.2619728860941,299.02929245053724,305.8415013122592,306.15214638337574,,,,306.545451843867,298.65117275780887,,295.2131571574638,,307.5948432583123,,297.90282542797047,298.93974683426075,,295.07238316584454,299.65756536295476,,304.38751441879873,303.9433318982632,296.9338223279353,,298.1491339204473
12684.694116670153,295.6401681204872,,299.2369673796074,280.5611050454535,,,,,304.2774406938213,295.9710232572793,302.4717913586787,,306.5335012334564,,308.15931940409143,,285.572784870758,293.8702931579138,,,309.3180859784704,284.28726342579864,,293.06194813525167,,291.51159855811557,,,,306.2197956184699
13824.305809272448,299.6678262212221,,296.7733209417186,277.36197530869043,,296.2461342471538,305.98897602486073,,,,300.224250289913,274.1424455848903,305.365983942754,290.88709961394295,,288.7078997819064,,298.16191470482283,,,303.699912777136,291.8614422950543,292.3475604515239,298.06338361827795,291.9857268721594,,300.254636057452,300.94512022245317,274.37071338557973,
15066.301902946669,300.7243717591572,296.41889116825746,296.563568219167,280.5848145252349,,,,307.3902421450958,,,,,302.1288667499056,,,,,,299.01145889558626,,,,,,292.25342798981956,,301.59456935136757,,,
16419.88076381253,299.4773191356826,,,281.2352119718248,,288.7434146063072,,306.7410935032284,305.0131744689491,,,,301.40280878109274,287.2787505200424,,,290.0460620063601,,,296.440375201156,,,,,293.8307793485519,297.37403178689533,,295.6390299652997,264.2525665511159,297.2694847090354
17895.06715281541,303.02846999356217,293.50565986281777,299.7168073347194,282.24528146893994,297.62328477690284,298.4473878112448,,304.3538971602561,297.7783509594185,304.90816508230716,303.92488755408306,,302.1048796389658,287.1590882634726,289.5369230563306,297.33416914816627,,289.47904265743244,301.9837529750215,,,,,301.30872085279304,288.3891009816517,,,300.7054383276658,,298.3727896286372
19502.78647026042,,,298.64718828794673,,295.35268344778524,,,309.78376136722966,303.7086593806621,302.9888287313517,,,,286.81575309314667,,295.8980366289274,,,300.45366942637094,,306.4722504922633,289.97385329074694,302.48309046716486,302.1838884953151,,297.6635554217561,298.94822530199247,,,295.06972037904416
21254.945670585672,,297.1108140367017,,,297.6349990930844,,,,299.47075855839563,,,266.2000774987773,,,298.8868714906234,295.5192755335038,,,,,305.933230005919,,,,286.6476228673936,302.6379235634496,303.42932750076324,303.30901777123233,,299.17553742375
